"DPA GROUP";"NL0009197771";"DPA";"Euronext Amsterdam";"EUR";"1.465";"1.495";"1.465";"1.485";"12/11/2018 16:18";"CET";"620";"925.18"
"DSM KON";"NL0000009827";"DSM";"Euronext Amsterdam";"EUR";"80.00";"80.28";"78.44";"78.44";"12/11/2018 17:35";"CET";"610575";"48132897.24"
"DUTCH STAR C SHAR";"NL0012747059";"DSC1";"Euronext Amsterdam";"EUR";"9.30";"9.30";"9.30";"9.30";"05/11/2018 11:04";"CET";"25";"232.50"
"DUTCH STAR C WAR";"NL0012747067";"DSC1W";"Euronext Amsterdam";"EUR";"0.90";"0.90";"0.90";"0.90";"21/08/2018 13:17";"CET";"500";"450.00"
"EASE2PAY NV";"NL0000345627";"EAS2P";"Euronext Amsterdam";"EUR";"1.99";"2.05";"1.99";"2.03";"12/11/2018 17:35";"CET";"9357";"18899.64"
"ENVIPCO";"NL0009901610";"ENVI";"Euronext Amsterdam, Brussels";"EUR";"12.00";"12.00";"11.50";"12.00";"12/11/2018 15:17";"CET";"86";"1029.50"
"ESPERITE";"NL0009272137";"ESP";"Euronext Amsterdam, Paris";"EUR";"0.22";"0.22";"0.20";"0.21";"12/11/2018 17:35";"CET";"403911";"85702.46"
"EUROCASTLE INVEST.";"GB00B94QM994";"ECT";"Euronext Amsterdam";"EUR";"6.00";"6.00";"5.94";"5.94";"12/11/2018 17:35";"CET";"2806";"16777.50"
"EUROCOMMERCIAL";"NL0000288876";"ECMPA";"Euronext Amsterdam, Brussels";"EUR";"30.86";"30.86";"29.60";"29.66";"12/11/2018 17:35";"CET";"110679";"3302569.42"
"EURONEXT";"NL0006294274";"ENX";"Euronext Paris, Amsterdam, Brussels";"EUR";"54.60";"54.60";"52.30";"53.15";"12/11/2018 17:38";"CET";"160626";"8544111.05"
"FAGRON";"BE0003874915";"FAGR";"Euronext Brussels, Amsterdam";"EUR";"14.71";"14.79";"14.54";"14.57";"12/11/2018 17:35";"CET";"69415";"1016811.88"
"FLOW TRADERS";"NL0011279492";"FLOW";"Euronext Amsterdam";"EUR";"27.78";"28.02";"27.36";"27.92";"12/11/2018 17:35";"CET";"124139";"3438539.38"
"FNG NV";"BE0974332646";"FNG";"Euronext Brussels, Amsterdam";"EUR";"19.80";"19.80";"19.80";"19.80";"12/11/2018 17:29";"CET";"22";"435.60"
"FORFARMERS";"NL0011832811";"FFARM";"Euronext Amsterdam";"EUR";"9.60";"9.60";"9.46";"9.50";"12/11/2018 17:35";"CET";"68146";"647625.59"
"FUGRO";"NL0000352565";"FUR";"Euronext Amsterdam";"EUR";"10.75";"10.87";"10.52";"10.52";"12/11/2018 17:35";"CET";"660394";"7062900.96"
"GALAPAGOS";"BE0003818359";"GLPG";"Euronext Amsterdam, Brussels";"EUR";"94.30";"94.60";"89.70";"90.00";"12/11/2018 17:35";"CET";"416277";"38206282.12"
"GEMALTO";"NL0000400653";"GTO";"Euronext Amsterdam, Paris";"EUR";"50.54";"50.68";"50.52";"50.66";"12/11/2018 17:35";"CET";"315493";"15970589.32"
"GRANDVISION";"NL0010937066";"GVNV";"Euronext Amsterdam";"EUR";"21.88";"22.02";"21.36";"21.36";"12/11/2018 17:35";"CET";"101285";"2193851.96"
"HAL TRUST";"BMG455841020";"HAL";"Euronext Amsterdam";"EUR";"142.80";"143.20";"141.00";"142.00";"12/11/2018 17:35";"CET";"10838";"1543082.00"
"HeadFirst Source G";"CWN814651014";"HFS";"Euronext Amsterdam";"EUR";"3.08";"3.08";"3.08";"3.08";"12/11/2018 09:00";"CET";"1";"3.08"
"HEIJMANS";"NL0009269109";"HEIJM";"Euronext Amsterdam";"EUR";"9.30";"9.41";"9.13";"9.15";"12/11/2018 17:35";"CET";"70031";"646878.22"
"HEINEKEN";"NL0000009165";"HEIA";"Euronext Amsterdam";"EUR";"79.62";"79.74";"79.12";"79.68";"12/11/2018 17:35";"CET";"525248";"41779867.08"
"HEINEKEN HOLDING";"NL0000008977";"HEIO";"Euronext Amsterdam";"EUR";"77.25";"77.25";"76.45";"76.80";"12/11/2018 17:35";"CET";"78852";"6057577.85"
"HOLLAND COLOURS";"NL0000440311";"HOLCO";"Euronext Amsterdam";"EUR";"80.20";"80.40";"80.00";"80.00";"12/11/2018 12:15";"CET";"214";"17142.80"
"HUNTER DOUGLAS";"ANN4327C1220";"HDG";"Euronext Amsterdam";"EUR";"61.20";"61.20";"60.00";"61.00";"12/11/2018 17:35";"CET";"1116";"68172.80"
"HUNTER DOUGLAS";"ANN4327C1303";"HUNDP";"Euronext Amsterdam";"EUR";"0.2301";"0.2301";"0.2301";"0.2301";"17/05/2018 16:30";"CET";"40";"9.20"
"HYDRATEC";"NL0009391242";"HYDRA";"Euronext Amsterdam";"EUR";"69.00";"69.00";"68.50";"68.50";"12/11/2018 16:30";"CET";"41";"2813.50"
"ICT GROUP";"NL0000359537";"ICT";"Euronext Amsterdam";"EUR";"11.95";"11.95";"11.95";"11.95";"12/11/2018 17:35";"CET";"836";"9990.20"
"IEX GROUP NV";"NL0010556726";"IEX";"Euronext Amsterdam";"EUR";"3.50";"3.50";"3.50";"3.50";"19/10/2018 16:30";"CET";"1000";"3500.00"
"IMCD";"NL0010801007";"IMCD";"Euronext Amsterdam";"EUR";"61.40";"61.70";"60.10";"60.30";"12/11/2018 17:35";"CET";"53046";"3206795.40"
"ING GROEP N.V.";"NL0011821202";"INGA";"Euronext Amsterdam, Brussels";"EUR";"11.40";"11.412";"11.142";"11.152";"12/11/2018 16:36";"CET";"12218830";"137290475.62"
"INTERTRUST";"NL0010937058";"INTER";"Euronext Amsterdam";"EUR";"14.08";"14.21";"13.96";"14.03";"12/11/2018 17:38";"CET";"116578";"1636713.78"
"KARDAN";"NL0000113652";"KARD";"Euronext Amsterdam";"EUR";"0.1028";"0.1114";"0.097";"0.10";"12/11/2018 17:02";"CET";"802797";"83257.24"
"KAS BANK";"NL0000362648";"KA";"Euronext Amsterdam";"EUR";"6.33";"6.40";"6.30";"6.33";"12/11/2018 16:21";"CET";"3634";"23012.42"
"KENDRION";"NL0000852531";"KENDR";"Euronext Amsterdam";"EUR";"23.85";"23.90";"22.35";"22.65";"12/11/2018 17:35";"CET";"24536";"566604.10"
"KIADIS";"NL0011323407";"KDS";"Euronext Amsterdam, Brussels";"EUR";"9.00";"9.00";"8.57";"8.63";"12/11/2018 17:35";"CET";"220926";"1928480.67"
"KPN KON";"NL0000009082";"KPN";"Euronext Amsterdam";"EUR";"2.393";"2.395";"2.371";"2.377";"12/11/2018 17:35";"CET";"6508896";"15495769.89"
"LAVIDE HOLDING";"NL0010545679";"LVIDE";"Euronext Amsterdam";"EUR";"0.32";"0.32";"0.32";"0.32";"12/11/2018 12:53";"CET";"63";"20.16"
"LUCASBOLS";"NL0010998878";"BOLS";"Euronext Amsterdam";"EUR";"16.25";"16.35";"16.25";"16.30";"12/11/2018 17:35";"CET";"2363";"38518.95"
"MKB Nedsense";"NL0009312842";"NEDSE";"Euronext Amsterdam";"EUR";"0.164";"0.164";"0.163";"0.163";"09/11/2018 11:29";"CET";"10500";"1721.50"
"NB PRIV EQ PARTN";"GG00B1ZBD492";"NBPE";"Euronext Amsterdam";"USD";"15.00";"15.00";"15.00";"15.00";"09/11/2018 17:35";"CET";"1";"13.22"
"NEDAP";"NL0000371243";"NEDAP";"Euronext Amsterdam";"EUR";"45.40";"45.50";"44.70";"44.80";"12/11/2018 17:35";"CET";"3830";"172352.40"
"NEPI ROCKCASTLE";"IM00BDD7WV31";"NRP";"Euronext Amsterdam";"EUR";"7.90";"7.90";"7.90";"7.90";"07/11/2018 13:59";"CET";"150";"1185.00"
"NEW SOURCES ENERGY";"NL0009822014";"NSE";"Euronext Amsterdam";"EUR";"0.144";"0.144";"0.144";"0.144";"12/11/2018 12:33";"CET";"1000";"144.00"
"NEWAYS ELECTRONICS";"NL0000440618";"NEWAY";"Euronext Amsterdam";"EUR";"11.45";"11.45";"11.05";"11.10";"12/11/2018 17:35";"CET";"3217";"35915.95"
"NIBC HOLDING";"NL0012756316";"NIBC";"Euronext Amsterdam";"EUR";"8.365";"8.40";"8.338";"8.345";"12/11/2018 17:35";"CET";"57285";"479091.60"
